User's manual r01uh0330ej0210_rl78l12; Version 1.00; November 15, 2016
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
ADM2,11.3.4  A/D converter mode register 2 (ADM2),Figure11-7.FormatofA/DConverterModeRegister2(ADM2)(1/2),,,
ADTYP,11.3.4  A/D converter mode register 2 (ADM2),Figure11-7.FormatofA/DConverterModeRegister2(ADM2)(2/2),2,,
AWC,11.3.4  A/D converter mode register 2 (ADM2),Figure11-7.FormatofA/DConverterModeRegister2(ADM2)(2/2),2,,
ADRCK,11.3.4  A/D converter mode register 2 (ADM2),Figure11-7.FormatofA/DConverterModeRegister2(ADM2)(1/2),2,,
ADUL,11.3.8  Conversion result comparison upper limit setting register (ADUL),Figure11-12.FormatofConversionResultComparisonUpperLimitSettingRegister(ADUL),,,
ADLL,11.3.9  Conversion result comparison lower limit setting register (ADLL),Figure11-13.FormatofConversionResultComparisonLowerLimitSettingRegister(ADLL),,,
ADTES,11.3.10  A/D test register (ADTES),Figure11-14.FormatofA/DTestRegister(ADTES),,A/D  CONVERTER,
ADTES,23.3.8  A/D test function,Figure23-16.FormatofA/DTestRegister(ADTES),,SAFETY  FUNCTIONS,
PU1,4.3.3  Pull-up resistor option registers (PUxx),Figure4-3.FormatofPull-upResistorOptionRegister(64-pinproducts),,,
PU3,4.3.3  Pull-up resistor option registers (PUxx),Figure4-3.FormatofPull-upResistorOptionRegister(64-pinproducts),,,
PU4,4.3.3  Pull-up resistor option registers (PUxx),Figure4-3.FormatofPull-upResistorOptionRegister(64-pinproducts),,,
PU5,4.3.3  Pull-up resistor option registers (PUxx),Figure4-3.FormatofPull-upResistorOptionRegister(64-pinproducts),,,
PU7,4.3.3  Pull-up resistor option registers (PUxx),Figure4-3.FormatofPull-upResistorOptionRegister(64-pinproducts),,,
PU12,4.3.3  Pull-up resistor option registers (PUxx),Figure4-3.FormatofPull-upResistorOptionRegister(64-pinproducts),,,
PU14,4.3.3  Pull-up resistor option registers (PUxx),Figure4-3.FormatofPull-upResistorOptionRegister(64-pinproducts),,,
PIM1,4.3.4  Port input mode register (PIM1),Figure4-4.FormatofPortInputModeRegister(64-pinproducts),,,
POM1,4.3.5  Port output mode register (POM1),Figure4-5.FormatofPortInputModeRegister(64-pinproducts),,,
PMC1,4.3.6  Port mode control registers (PMCxx),Figure4-6.FormatofPortModeControlRegister(64-pinproducts),,,
PMC4,4.3.6  Port mode control registers (PMCxx),Figure4-6.FormatofPortModeControlRegister(64-pinproducts),,,
PMC12,4.3.6  Port mode control registers (PMCxx),Figure4-6.FormatofPortModeControlRegister(64-pinproducts),,,
PMC14,4.3.6  Port mode control registers (PMCxx),Figure4-6.FormatofPortModeControlRegister(64-pinproducts),,,
NFEN0,12.3.16  Noise filter enable register 0 (NFEN0),Figure12-20.FormatofNoiseFilterEnableRegister0(NFEN0),,,
NFEN1,6.3.15  Noise filter enable register 1 (NFEN1),Figure6-24.FormatofNoiseFilterEnableRegister1(NFEN1),,,
ISC,6.3.14  Input switch control register (ISC),Figure6-23.FormatofInputSwitchControlRegister(ISC),,TIMER  ARRAY  UNIT,
ISC,12.3.15  Input switch control register (ISC),Figure12-19.FormatofInputSwitchControlRegister(ISC),,SERIAL  ARRAY  UNIT,
TIS0,6.3.8  Timer input select register 0 (TIS0),Figure6-17.FormatofTimerInputSelectRegister0(TIS0),,TIMER  ARRAY  UNIT,
TIS0,23.3.7  Frequency detection function,Figure23-14.FormatofTimerInputSelectRegister0(TIS0),,SAFETY  FUNCTIONS,
ADPC,4.3.7  A/D port configuration register (ADPC),Figure4-7.FormatofA/DPortConfigurationRegister(ADPC),,,
PIOR,4.3.8  Peripheral I/O redirection register (PIOR),Figure4-8.FormatofPeripheralI/ORedirectionRegister(PIOR),,,
IAWCTL,23.3.4  RAM guard function,Figure23-9.FormatofInvalidMemoryAccessDetectionControlRegister(IAWCTL),,RAM guard function,
IAWCTL,23.3.5  SFR guard function,Figure23-10.FormatofInvalidMemoryAccessDetectionControlRegister(IAWCTL),,SFR guard function,
IAWCTL,23.3.6  Invalid memory access detection function,Figure23-12.FormatofInvalidMemoryAccessDetectionControlRegister(IAWCTL),,Invalid memory access detection function,
TOS,6.3.9  Timer output select register (TOS),Figure6-18.FormatofTimerOutputSelectRegister(TOS),,,
TOS0,6.3.9  Timer output select register (TOS),Figure6-18.FormatofTimerOutputSelectRegister(TOS),2,,
DFLCTL,26.8.2  Register controlling data flash memory,Figure26-10.FormatofDataFlashControlRegister(DFLCTL),,,
DFLEN,26.8.2  Register controlling data flash memory,Figure26-10.FormatofDataFlashControlRegister(DFLCTL),2,,
HIOTRM,5.3.9  High-speed on-chip oscillator trimming register (HIOTRM),Figure5-10.FormatofHigh-SpeedOn-ChipOscillatorTrimmingRegister(HIOTRM),,,
HOCODIV,5.3.8  High-speed on-chip oscillator frequency select register (HOCODIV),Figure5-9.FormatofHigh-speedOn-chipOscillatorfrequencyselectregister(HOCODIV),,,
MDCL,"15.2.3  Multiplication/division data register C (MDCL, MDCH)","Figure15-4.FormatofMultiplication/DivisionDataRegisterC(MDCH,MDCL)",,,
MDCH,"15.2.3  Multiplication/division data register C (MDCL, MDCH)","Figure15-4.FormatofMultiplication/DivisionDataRegisterC(MDCH,MDCL)",,,
MDUC,15.3.1  Multiplication/division control register (MDUC),Figure15-5.FormatofMultiplication/DivisionControlRegister(MDUC),,,
DIVST,15.3.1  Multiplication/division control register (MDUC),Figure15-5.FormatofMultiplication/DivisionControlRegister(MDUC),2,,
MACSF,15.3.1  Multiplication/division control register (MDUC),Figure15-5.FormatofMultiplication/DivisionControlRegister(MDUC),2,,
MACOF,15.3.1  Multiplication/division control register (MDUC),Figure15-5.FormatofMultiplication/DivisionControlRegister(MDUC),2,,
MDSM,15.3.1  Multiplication/division control register (MDUC),Figure15-5.FormatofMultiplication/DivisionControlRegister(MDUC),2,,DIVMODE
MACMODE,15.3.1  Multiplication/division control register (MDUC),Figure15-5.FormatofMultiplication/DivisionControlRegister(MDUC),2,,DIVMODE
